Cust_ID,Large_Burger,Reg_Burger,Fav_Burger,Sides,Desserts,Weekday,Value
1,100.00,33.33,EXT,0.00,0.00,100.00,308.257464785129
2,70.00,60.00,OTHER,50.00,30.00,100.00,677.140884520486
3,88.89,66.67,OTHER,0.00,22.22,100.00,245.752754947171
4,100.00,50.00,CM,33.33,0.00,100.00,478.587701637298
5,100.00,25.00,CM,0.00,0.00,75.00,280.492614489049
6,11.11,44.44,BPF,0.00,0.00,100.00,573.238566378132
7,100.00,50.00,OTHER,75.00,50.00,100.00,713.283601822332
8,66.67,20.00,ACC,0.00,0.00,60.00,707.853706600145
9,60.00,40.00,MTZ,0.00,0.00,80.00,649.346710415557
10,100.00,16.67,ACC,0.00,14.29,100.00,261.06176590547
11,100.00,33.33,ACC,0.00,0.00,100.00,695.441236207262
12,51.06,95.74,BPF,0.00,0.00,87.50,746.630531968549
13,66.67,33.33,OTHER,0.00,0.00,100.00,607.302475860342
14,100.00,7.69,CM,15.38,46.15,30.77,394.24175764434
15,100.00,50.00,EXT,50.00,50.00,50.00,207.633607368916
16,0.00,100.00,BPF,0.00,0.00,60.00,749.065566202626
17,66.67,66.67,BPF,33.33,0.00,66.67,500.015297811478
18,75.00,50.00,ACC,25.00,0.00,100.00,641.156708681956
19,0.00,100.00,BPF,75.00,75.00,75.00,263.761027622968
20,0.00,100.00,BPF,0.00,0.00,66.67,556.844413978979
21,80.00,80.00,BPF,0.00,44.44,100.00,368.704246822745
22,97.06,41.18,ACC,36.67,13.33,100.00,592.693853657693
23,75.00,91.67,OTHER,0.00,0.00,91.67,256.599973235279
24,84.62,23.08,ACC,100.00,0.00,61.54,285.640412708744
25,71.43,28.57,OTHER,0.00,0.00,71.43,594.643937936053
26,66.67,100.00,BPF,66.67,33.33,50.00,583.416271489114
27,33.33,100.00,BPF,0.00,0.00,100.00,622.604152234271
28,83.33,0.00,EXT,71.43,85.71,100.00,418.431586259976
29,83.33,16.67,ACC,40.00,0.00,58.33,771.756787784398
30,40.00,80.00,BPF,83.33,66.67,100.00,481.299755256623
31,92.86,14.29,OTHER,76.92,0.00,78.57,424.904004996642
32,25.00,50.00,MNM,100.00,0.00,25.00,575.602568034083
33,75.00,50.00,BPF,100.00,0.00,75.00,373.743174038827
34,100.00,0.00,CM,90.48,0.00,52.00,251.670463522896
35,85.00,20.00,CM,0.00,70.00,70.00,475.535019068047
36,90.00,20.00,CM,30.00,0.00,50.00,713.053027819842
37,0.00,100.00,BPF,20.00,0.00,60.00,453.905886178836
38,10.00,0.00,MNM,0.00,0.00,50.00,727.41286396049
39,75.00,50.00,OTHER,0.00,0.00,75.00,299.121961463243
40,100.00,20.00,EXT,0.00,0.00,60.00,442.09034643136
41,66.67,16.67,ACC,0.00,0.00,100.00,667.980447830632
42,100.00,25.00,CM,0.00,0.00,100.00,466.689486708492
43,100.00,0.00,CM,3.57,0.00,89.29,381.571700330824
44,100.00,33.33,OTHER,100.00,100.00,33.33,464.123174967244
45,66.67,66.67,MNM,33.33,0.00,100.00,265.306915016845
46,100.00,0.00,AMR,50.00,50.00,75.00,534.586716163903
47,71.43,85.71,BPF,0.00,0.00,85.71,784.573417063802
48,53.33,0.00,MNM,7.14,7.14,46.67,741.598666924983
49,28.57,0.00,OTHER,0.00,0.00,100.00,641.235108114779
50,6.25,100.00,BPF,0.00,0.00,75.00,204.228685237467
51,0.00,100.00,OTHER,0.00,0.00,100.00,685.712003707886
52,37.50,0.00,MNM,0.00,14.29,75.00,243.587504839525
53,80.00,20.00,CM,33.33,0.00,60.00,215.914376592264
54,28.57,85.71,BPF,85.71,0.00,42.86,238.230197317898
55,100.00,62.50,CM,0.00,0.00,100.00,698.483587801456
56,100.00,0.00,ACC,100.00,25.00,93.33,470.37020851858
57,100.00,12.50,CM,12.50,6.25,56.25,649.365460453555
58,85.71,14.29,OTHER,0.00,16.67,100.00,560.446540499106
59,100.00,0.00,CM,0.00,0.00,100.00,628.234531683847
60,47.37,52.63,BPF,7.69,15.38,100.00,451.330571714789
61,100.00,23.53,ACC,76.47,11.76,58.82,314.930327795446
62,94.44,33.33,ACC,66.67,0.00,72.22,587.414574949071
63,22.22,100.00,OTHER,5.56,0.00,66.67,266.722794203088
64,100.00,66.67,BPF,0.00,0.00,66.67,780.497521627694
65,100.00,33.33,OTHER,66.67,40.00,63.16,684.510600380599
66,75.00,25.00,EXT,66.67,0.00,75.00,421.378614939749
67,100.00,0.00,CM,33.33,0.00,100.00,483.451619185507
68,100.00,0.00,AMR,50.00,100.00,66.67,665.73148611933
69,66.67,100.00,BPF,33.33,0.00,33.33,289.436144847423
70,100.00,0.00,EXT,50.00,0.00,66.67,615.911563811824
71,100.00,33.33,AMR,66.67,0.00,100.00,233.263968862593
72,100.00,0.00,ACC,0.00,0.00,80.00,467.586385132745
73,100.00,61.54,CM,6.67,60.00,69.23,326.100634364411
74,7.41,98.77,BPF,0.00,0.00,61.73,290.005464665592
75,100.00,0.00,MTZ,0.00,0.00,100.00,742.364228470251
76,100.00,0.00,CM,0.00,0.00,100.00,274.432776356116
77,100.00,27.27,CM,45.45,27.27,90.91,368.392481794581
78,60.00,100.00,BPF,40.00,20.00,60.00,266.771533433348
79,23.08,92.31,BPF,0.00,0.00,100.00,571.086938958615
80,100.00,0.00,ACC,20.00,0.00,50.00,297.060694592074
81,80.00,20.00,OTHER,40.00,0.00,100.00,546.782572614029
82,93.33,33.33,CM,0.00,0.00,60.00,617.495278595015
83,80.00,70.00,OTHER,11.11,0.00,90.00,733.347181836143
84,100.00,0.00,CM,100.00,25.00,80.00,287.722638109699
85,84.62,15.38,CM,83.33,0.00,71.43,681.922453502193
86,100.00,0.00,MNM,33.33,0.00,100.00,301.209293678403
87,100.00,0.00,ACC,100.00,0.00,100.00,402.846136502922
88,63.16,89.47,BPF,17.65,0.00,76.19,493.800904229283
89,100.00,0.00,CM,10.00,0.00,70.00,622.615723451599
90,60.00,30.00,MNM,25.00,12.50,72.73,721.278653061017
91,66.67,33.33,MTZ,100.00,100.00,85.71,474.759229226038
92,100.00,84.62,CM,0.00,0.00,61.54,536.634573107585
93,100.00,0.00,EXT,50.00,0.00,77.78,672.146170306951
94,57.14,100.00,BPF,57.14,0.00,71.43,281.642946181819
95,66.67,33.33,OTHER,0.00,0.00,100.00,733.626007800922
96,33.33,83.33,OTHER,16.67,0.00,83.33,641.100297076628
97,0.00,100.00,BPF,66.67,66.67,100.00,459.818702517077
98,0.00,0.00,MNM,0.00,0.00,100.00,385.294800484553
99,77.78,22.22,MTZ,0.00,0.00,66.67,588.57752867043
100,100.00,100.00,BPF,0.00,0.00,66.67,475.512887351215
101,55.56,44.44,OTHER,63.89,0.00,72.22,504.34667756781
102,0.00,100.00,OTHER,20.00,40.00,40.00,562.239969382063
103,100.00,0.00,CM,50.00,0.00,100.00,209.004414547235
104,100.00,20.00,EXT,0.00,0.00,100.00,399.349869508296
105,60.00,40.00,ACC,75.00,100.00,100.00,563.297113310546
106,100.00,71.43,ACC,14.29,0.00,100.00,431.183166382834
107,50.00,50.00,MNM,0.00,0.00,100.00,456.391277490184
108,84.00,12.00,EXT,0.00,0.00,40.00,360.515148099512
109,100.00,47.06,ACC,11.76,11.76,64.71,470.626019733027
110,100.00,33.33,ACC,100.00,0.00,100.00,279.911629017442
111,100.00,33.33,EXT,0.00,0.00,100.00,682.7394395601
112,100.00,5.88,ACC,6.67,0.00,88.24,633.001847518608
113,100.00,0.00,CM,0.00,0.00,75.00,786.93020734936
114,75.00,0.00,OTHER,0.00,0.00,50.00,391.25203336589
115,100.00,25.00,CM,100.00,50.00,75.00,584.188951924443
116,100.00,0.00,MTZ,0.00,0.00,33.33,335.258008725941
117,60.00,10.00,OTHER,0.00,0.00,70.00,484.102223766968
118,63.64,45.45,ACC,0.00,0.00,72.73,340.98676587455
119,100.00,0.00,OTHER,100.00,0.00,33.33,724.113636929542
120,46.15,3.85,MNM,0.00,0.00,80.77,797.393907606602
121,80.00,0.00,EXT,50.00,25.00,85.71,655.912045482546
122,80.00,40.00,OTHER,0.00,0.00,100.00,459.626902081072
123,50.00,25.00,MTZ,0.00,0.00,100.00,326.146218786016
124,100.00,0.00,OTHER,33.33,0.00,100.00,329.731063079089
125,100.00,0.00,MTZ,0.00,0.00,66.67,261.429068585858
126,100.00,20.00,ACC,40.00,0.00,40.00,448.3294242993
127,100.00,0.00,MTZ,0.00,0.00,86.67,564.206254482269
128,100.00,0.00,CM,100.00,0.00,66.67,655.539466952905
129,60.00,80.00,BPF,33.33,100.00,40.00,783.007405279204
130,100.00,0.00,ACC,100.00,33.33,100.00,282.764965202659
131,100.00,0.00,CM,100.00,0.00,57.14,653.612392675132
132,66.67,0.00,OTHER,0.00,0.00,100.00,264.110736269504
133,83.33,33.33,ACC,0.00,0.00,83.33,507.980036456138
134,100.00,0.00,CM,100.00,0.00,50.00,347.74652463384
135,66.67,16.67,MTZ,0.00,0.00,83.33,515.685319714248
136,30.00,60.00,BPF,0.00,0.00,40.00,207.514777267352
137,100.00,0.00,CM,11.11,0.00,77.78,219.319879310206
138,0.00,93.75,BPF,81.25,0.00,50.00,291.744189057499
139,100.00,0.00,MTZ,0.00,0.00,100.00,770.894061680883
140,100.00,0.00,MTZ,50.00,0.00,100.00,269.052215060219
141,87.50,12.50,MTZ,100.00,40.00,50.00,230.268937023357
142,100.00,20.00,ACC,0.00,0.00,100.00,541.022786078975
143,100.00,40.00,EXT,0.00,0.00,60.00,301.684061298147
144,100.00,20.00,CM,50.00,0.00,100.00,377.603165898472
145,100.00,0.00,CM,100.00,0.00,100.00,344.123315811157
146,75.00,50.00,BPF,25.00,0.00,50.00,791.031630989164
147,100.00,50.00,CM,0.00,0.00,75.00,323.909106850624
148,88.68,16.98,CM,0.00,0.00,64.15,453.089812351391
149,93.75,43.75,CM,18.75,0.00,87.50,612.45863167569
150,100.00,50.00,CM,0.00,50.00,75.00,629.321165662259
151,75.00,12.50,MTZ,33.33,0.00,88.89,213.242609472945
152,100.00,33.33,CM,0.00,0.00,77.78,566.564743500203
153,100.00,0.00,CM,33.33,0.00,100.00,520.230601448566
154,72.73,63.64,ACC,9.09,0.00,81.82,477.918244339526
155,100.00,92.86,BPF,0.00,0.00,71.43,367.729540867731
156,50.00,75.00,BPF,0.00,25.00,75.00,627.663073223084
157,100.00,0.00,MTZ,50.00,0.00,100.00,205.894561251625
158,100.00,0.00,ACC,57.14,0.00,100.00,563.937826547772
159,60.00,100.00,BPF,0.00,0.00,80.00,480.711260298267
160,100.00,14.29,OTHER,77.78,33.33,100.00,744.302420085296
161,33.33,16.67,MNM,0.00,0.00,33.33,780.359609005973
162,87.50,12.50,MTZ,0.00,0.00,100.00,335.421335557476
163,100.00,0.00,ACC,75.00,0.00,100.00,668.612888688222
164,66.67,100.00,OTHER,0.00,16.67,83.33,404.509836994112
165,100.00,0.00,OTHER,100.00,0.00,60.00,710.773911513388
166,75.00,16.67,MNM,8.33,0.00,100.00,589.425268489867
167,80.00,20.00,ACC,50.00,0.00,100.00,369.080917257816
168,100.00,33.33,CM,0.00,0.00,33.33,550.6108536385
169,83.33,58.33,ACC,0.00,0.00,91.67,510.032360535115
170,80.00,60.00,BPF,66.67,33.33,100.00,560.427930718288
171,75.00,100.00,BPF,0.00,0.00,75.00,621.473570540547
172,96.00,20.00,MTZ,10.00,35.00,76.00,287.599068321288
173,100.00,0.00,MTZ,0.00,0.00,80.00,202.43915785104
174,95.00,5.00,ACC,52.94,0.00,55.00,703.255684394389
175,47.06,58.82,BPF,0.00,0.00,64.71,617.396493256092
176,10.00,20.00,MNM,5.00,5.00,100.00,219.631728716195
177,100.00,0.00,ACC,0.00,25.00,100.00,526.162810437381
178,76.92,30.77,ACC,0.00,0.00,92.31,467.663078848273
179,0.00,0.00,MNM,0.00,0.00,80.00,756.294936034828
180,66.67,77.78,OTHER,30.00,20.00,80.00,680.767020303756
181,33.33,0.00,OTHER,0.00,0.00,66.67,774.794905260205
182,83.33,25.00,CM,100.00,25.00,76.92,570.202661724761
183,3.60,2.70,MNM,0.00,0.00,66.67,384.149627853185
184,33.33,0.00,MNM,0.00,0.00,33.33,244.384327251464
185,100.00,20.00,ACC,40.00,0.00,80.00,688.539417460561
186,0.00,11.11,MNM,0.00,0.00,66.67,515.266038198024
187,100.00,0.00,AMR,0.00,0.00,100.00,204.933075234294
188,100.00,16.67,ACC,0.00,0.00,100.00,749.71022605896
189,100.00,11.11,CM,28.57,14.29,33.33,572.358311340213
190,87.50,0.00,ACC,33.33,0.00,50.00,369.408143265173
191,60.00,80.00,OTHER,20.00,0.00,100.00,596.902537578717
